X451Lu_Resist_BR2_1	X451Lu_Resist_BR2_2	X451Lu_Resist_BR3_27r	X451Lu_Resist_BR3_28r	X451Lu_Par_Par13	X451Lu_Par_Par19
AK3	1772	240	1906	1285	1083	1026
AK4	1318	517	1556	1157	2960	2997
AK5	121	20	21	14	57	40
AK6	998	102	738	461	732	648
AK7	47	16	13	6	51	30
AK8	22	3	5	3	14	9
AK9	313	37	182	114	194	121
AKAP1	5496	838	2944	2063	3622	3255
AKAP10	6299	910	2897	1868	4045	4059
AKAP11	5561	731	4212	3563	2459	2462
AKAP12	25056	3403	7382	5621	12142	12443
AKAP13	4455	665	2055	1580	2304	1765
AKAP14	0	0	0	1	0	1
AKAP17A	2172	290	960	560	1058	1046
AKAP2	53	6	6	7	25	18
AKAP3	50	14	17	9	30	11
AKAP4	0	0	0	0	0	0
AKAP5	132	12	71	61	75	142
AKAP6	233	44	175	126	222	185
AKAP7	429	70	223	142	345	318
AKAP8	1950	285	831	558	1211	898
AKAP8L	2919	376	1006	544	1568	1413
AKAP9	9034	1154	9499	6243	10638	8879
AKIP1	922	143	306	217	627	685
AKIRIN1	6602	988	2775	1943	4346	4218
AKIRIN2	761	93	213	212	415	315
AKNA	661	94	73	51	675	480
AKNAD1	6	0	11	9	11	21
AKR1A1	42748	8314	4062	2564	33553	20552
AKR1B1	8784	1258	3096	2417	5557	4342
AKR1B10	1	0	0	1	0	0
AKR1B15	0	0	0	1	0	0
AKR1C1	38	9	27	18	48	13
AKR1C2	18	1	9	5	9	7
AKR1C3	8	1	12	9	0	3
AKR1C4	1	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	2	1	0	0	0	0
AKR1E2	670	118	254	129	529	374
AKR7A2	5911	901	1948	1195	3562	3120
AKR7A2P1	25	4	6	8	16	20
AKR7A3	43	6	5	3	18	5
AKR7L	27	4	9	8	21	13
AKT1	11153	1718	5002	3302	6378	5867
AKT1S1	1062	127	328	250	415	341
AKT2	7009	1018	1781	1150	3547	2817
AKT3	7151	1171	3511	2423	4846	3532
AKTIP	677	92	362	194	487	480
ALAD	1557	250	387	369	1077	670
ALAS1	5193	682	1860	1171	3053	4461
ALAS2	0	0	0	0	0	0
ALB	1	0	0	0	1	0
ALCAM	3256	497	1541	890	1944	1498
ALDH16A1	2045	200	486	323	1060	1091
ALDH18A1	12271	1863	2887	1826	3760	4883
ALDH1A1	212	27	303	193	130	137
ALDH1A2	0	0	1	1	2	1
ALDH1A3	321	84	284	138	209	201
ALDH1B1	4375	708	3443	2616	4006	3463
ALDH1L1	150	32	1	0	49	77
ALDH1L1-AS1	3	0	0	0	0	2
ALDH1L1-AS2	0	0	0	0	0	0
ALDH1L2	3948	603	144	143	1896	982
ALDH2	7	1	2	2	5	1
ALDH3A1	0	1	0	0	1	1
ALDH3A2	10049	1720	4886	2970	6050	5463
ALDH3B1	330	42	26	19	139	145
ALDH3B2	34	6	0	0	1	4
ALDH4A1	4248	635	717	517	1455	1266
ALDH5A1	1014	143	252	157	978	558
ALDH6A1	2524	309	824	530	1192	986
ALDH7A1	6468	919	1776	2103	3981	3304
ALDH8A1	1	0	4	3	0	0
ALDH9A1	7407	1087	3993	2608	5557	4843
ALDOA	62522	11216	17788	12165	29660	34927
ALDOB	1	0	0	0	0	0
ALDOC	2972	654	1063	568	1571	2132
ALG1	1188	191	1065	657	694	681
ALG10	1067	146	521	345	729	714
ALG10B	1343	201	725	528	837	765
ALG11	796	126	504	414	366	329
ALG12	2431	345	905	575	1151	1028
ALG13	944	121	424	246	698	523
ALG14	512	61	242	134	381	343
ALG1L	30	5	3	2	17	7
ALG1L2	0	1	0	1	3	3
ALG1L9P	66	11	35	29	33	30
ALG2	1728	232	1088	622	1286	871
ALG3	1848	299	682	409	723	709
ALG5	1761	265	2142	1209	1184	1065
ALG6	1883	293	1305	850	1468	1370
ALG8	5298	876	3905	2269	2874	3113
ALG9	2077	323	1005	658	1399	1167
ALK	272	62	102	68	114	25
ALKBH1	763	103	445	261	350	450
ALKBH2	774	132	493	281	624	551
ALKBH3	1297	203	574	356	889	913
ALKBH3-AS1	0	0	0	0	0	0
ALKBH4	1242	203	469	271	684	636
ALKBH5	10013	1470	3683	2507	4375	5142
ALKBH6	469	76	157	100	329	280
ALKBH7	1262	157	188	130	843	728
ALKBH8	910	114	653	428	657	609
ALLC	5	0	5	0	7	4
ALMS1	5198	662	2494	1609	3108	3218
ALMS1-IT1	289	49	116	79	194	240
ALMS1P	84	9	177	81	63	48
ALOX12	1	0	0	0	1	1
ALOX12-AS1	168	39	99	51	129	93
ALOX12B	2	0	0	0	0	0
ALOX12P2	0	1	0	0	0	0
ALOX15	2	0	1	0	0	0
ALOX15B	2	0	0	0	0	3
ALOX15P1	10	2	13	4	2	0
ALOX5	0	0	0	0	0	0
ALOX5AP	0	0	1	0	0	0
ALOXE3	0	0	2	0	1	0
ALPI	0	0	0	0	0	0
ALPK1	850	148	305	204	775	671
ALPK2	0	0	1	1	2	0
ALPK3	7	1	1	1	1	0
ALPL	9	1	0	0	3	4
ALPP	0	1	0	0	0	0
ALPPL2	0	0	0	0	0	0
ALS2	5722	852	2845	1889	3342	3315
ALS2CL	68	8	5	5	30	23
ALS2CR11	2	0	1	4	0	2
ALS2CR12	46	3	47	20	27	12
ALX1	999	146	371	241	687	516
ALX3	0	0	0	0	0	0
ALX4	28	7	8	11	5	6
ALYREF	4748	669	3385	2086	3958	4114
AMACR	69	8	68	50	60	51
AMBN	14	6	4	2	4	1
